Resource Name,Type,Notes
meraki_appliance_cellular_firewall_rules,Singleton,Resets to defaults via PUT
meraki_appliance_connectivity_monitoring_destinations,Singleton,Resets to defaults via PUT
meraki_appliance_content_filtering,Unknown,Needs manual review
meraki_appliance_dns_local_profile_assignments,Unknown,Needs manual review
meraki_appliance_dns_local_profile,CRUD,Uses DELETE API
meraki_appliance_dns_local_record,CRUD,Uses DELETE API
meraki_appliance_dns_split_profile_assignments,Unknown,Needs manual review
meraki_appliance_dns_split_profile,CRUD,Uses DELETE API
meraki_appliance_firewall_multicast_forwarding,Singleton,Resets to defaults via PUT
meraki_appliance_firewall_settings,Unknown,Needs manual review
meraki_appliance_firewalled_service,Unknown,Needs manual review
meraki_appliance_inbound_cellular_firewall_rules,Singleton,Resets to defaults via PUT
meraki_appliance_inbound_firewall_rules,Singleton,Resets to defaults via PUT
meraki_appliance_l3_firewall_rules,Singleton,Resets to defaults via PUT
meraki_appliance_l7_firewall_rules,Singleton,Resets to defaults via PUT
meraki_appliance_network_security_intrusion,Unknown,Needs manual review
meraki_appliance_one_to_many_nat_rules,Singleton,Resets to defaults via PUT
meraki_appliance_one_to_one_nat_rules,Singleton,Resets to defaults via PUT
meraki_appliance_organization_security_intrusion,Singleton,Resets to defaults via PUT
meraki_appliance_port_forwarding_rules,Singleton,Resets to defaults via PUT
meraki_appliance_port,Unknown,Needs manual review
meraki_appliance_ports,Unknown,Needs manual review
meraki_appliance_prefix_delegated_static,CRUD,Uses DELETE API
meraki_appliance_prefix_delegated_statics,Unknown,Needs manual review
meraki_appliance_radio_settings,Unknown,Needs manual review
meraki_appliance_rf_profile,CRUD,Uses DELETE API
meraki_appliance_rf_profiles,Unknown,Needs manual review
meraki_appliance_sdwan_internet_policies,Singleton,Resets to defaults via PUT
meraki_appliance_security_malware,Unknown,Needs manual review
meraki_appliance_settings,Unknown,Needs manual review
meraki_appliance_single_lan,Unknown,Needs manual review
meraki_appliance_site_to_site_vpn,Unknown,Needs manual review
meraki_appliance_ssid,Unknown,Needs manual review
meraki_appliance_ssids,Unknown,Needs manual review
meraki_appliance_static_route,CRUD,Uses DELETE API
meraki_appliance_third_party_vpn_peers,Singleton,Resets to defaults via PUT
meraki_appliance_traffic_shaping_custom_performance_class,CRUD,Uses DELETE API
meraki_appliance_traffic_shaping_custom_performance_classes,Unknown,Needs manual review
meraki_appliance_traffic_shaping_rules,Singleton,Resets to defaults via PUT
meraki_appliance_traffic_shaping_uplink_bandwidth,Unknown,Needs manual review
meraki_appliance_traffic_shaping_uplink_selection,Unknown,Needs manual review
meraki_appliance_traffic_shaping_vpn_exclusions,Singleton,Resets to defaults via PUT
meraki_appliance_traffic_shaping,Unknown,Needs manual review
meraki_appliance_uplinks_settings,Unknown,Needs manual review
meraki_appliance_vlan_dhcp,Unknown,Needs manual review
